,GSM5444463,GSM5444460,GSM5444461,GSM5444462,GSM5444464,GSM5444465,GSM5444448,GSM5444449,GSM5444450,GSM5444451,GSM5444452,GSM5444453,GSM5444454,GSM5444455,GSM5444456,GSM5444457,GSM5444458,GSM5444459
ENSG00000255141.1,14,5,7,3,18,36,11,3,1,15,6,0,0,28,0,2,1,0
ENSG00000224555.3,0,1,0,0,1,1,2,8,2,2,1,0,1,3,12,7,3,0
ENSG00000240385.1,1,3,28,2,0,0,0,12,6,0,6,0,0,0,0,6,0,0
ENSG00000167325.15,354,629,603,558,745,728,1090,1107,1297,1438,1211,23,422,793,688,1211,108,9
ENSG00000255276.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0
ENSG00000231548.2,0,4,9,0,0,0,7,0,2,2,0,0,0,0,0,0,0,0
ENSG00000254480.2,7,0,0,0,0,9,6,0,2,2,0,0,0,0,0,9,0,0
ENSG00000255387.1,2,1,4,3,8,4,5,4,2,1,7,8,2,5,1,12,7,12
ENSG00000284018.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000284306.1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236175.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283873.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284546.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284438.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221996.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175800.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000132109.10,100,111,153,64,106,121,312,409,250,417,259,4,83,204,64,256,20,0
ENSG00000225101.6,0,0,0,0,0,2,4,5,0,1,0,0,0,0,0,0,0,0
ENSG00000237272.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171999.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181963.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196778.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000226616.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197790.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171987.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226288.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
ENSG00000232268.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000167333.13,60,104,77,65,116,140,220,213,214,264,210,0,0,0,0,0,0,0
ENSG00000197428.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180785.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180723.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167332.9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197674.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167346.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000272634.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272664.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271602.1,2,3,4,9,2,4,4,9,11,15,4,0,5,0,5,17,1,0
ENSG00000272559.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273051.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201980.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280021.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176951.6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231070.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279270.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176925.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197984.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176922.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176904.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198217.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176900.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197023.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176895.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176893.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278870.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227023.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205497.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205496.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225003.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176798.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224300.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230261.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205495.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176787.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273085.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237354.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226157.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203560.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
